Waktu ,SKU,Nama Barang,Jumlah Pemesanan,Jumlah Diterima,Harga Beli ,Total,Nomer Kwitansi,Catatan
2017/11/01 16:31,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",26,26,"Rp60,000","Rp1,560,000",20171101-49061,2017/11/05 terima 26
2017/11/01 12:29,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",35,35,"Rp60,000","Rp2,100,000",20171101-77541,2017/11/05 terima 35
2017/11/01 11:32,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",50,50,"Rp68,000","Rp3,400,000",20171101-77541,2017/11/04 terima 50
2017/11/01 11:22,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",23,23,"Rp63,000","Rp1,449,000",20171101-49764,2017/11/03 terima 23
2017/11/01 11:15,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",33,33,"Rp77,000","Rp2,541,000",20171101-77541,2017/11/04 terima 33
2017/11/01 3:07,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",21,21,"Rp71,000","Rp1,491,000",20171101-49201,2017/11/03 terima 21
2017/11/01 2:03,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",32,32,"Rp61,000","Rp1,952,000",20171101-77541,2017/11/05 terima 32
2017/10/30 15:29,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",47,47,"Rp67,000","Rp3,149,000",20171030-72636,2017/11/01 terima 47
2017/10/30 14:55,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",35,35,"Rp68,000","Rp2,380,000",20171030-78949,2017/11/01 terima 35
2017/10/30 14:24,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",20,20,"Rp74,000","Rp1,480,000",20171030-81599,2017/11/01 terima 20
2017/10/30 13:34,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",33,33,"Rp70,000","Rp2,310,000",20171030-72459,2017/11/01 terima 33
2017/10/30 12:44,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",43,43,"Rp76,000","Rp3,268,000",20171030-72207,2017/11/01 terima 43
2017/10/30 7:13,SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",48,48,"Rp71,000","Rp3,408,000",20171030-72631,2017/11/01 terima 48
2017/10/30 7:02,SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",48,48,"Rp68,000","Rp3,264,000",20171030-72636,2017/11/02 terima 48
2017/10/30 5:20,SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",41,41,"Rp68,000","Rp2,788,000",20171030-72380,2017/11/03 terima 41
2017/10/30 4:19,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",50,50,"Rp71,000","Rp3,550,000",20171030-81674,2017/11/02 terima 50
2017/10/30 3:21,SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",31,31,"Rp60,000","Rp1,860,000",20171030-72690,2017/11/02 terima 31
2017/10/30 0:44,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",24,24,"Rp76,000","Rp1,824,000",20171030-73213,2017/11/03 terima 24
2017/10/30 0:32,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",42,42,"Rp73,000","Rp3,066,000",20171030-72379,2017/11/03 terima 42
2017/10/21 12:56,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",40,40,"Rp68,000","Rp2,720,000",20171021-54469,2017/10/24 terima 40
2017/10/21 12:50,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",23,23,"Rp67,000","Rp1,541,000",20171021-55007,2017/10/23 terima 23
2017/10/21 2:55,SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",63,63,"Rp66,000","Rp4,158,000",20171021-54404,2017/10/25 terima 63
2017/10/21 2:12,SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",20,20,"Rp76,000","Rp1,520,000",20171021-54754,2017/10/23 terima 20
2017/10/21 0:46,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",23,23,"Rp71,000","Rp1,633,000",20171021-54810,2017/10/23 terima 23
2017/10/14 16:12,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",23,23,"Rp76,000","Rp1,748,000",20171014-55723,2017/10/16 terima 23
2017/10/14 7:03,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",22,22,"Rp61,000","Rp1,342,000",20171014-55661,2017/10/16 terima 22
2017/10/02 3:34,SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",75,75,"Rp72,000","Rp5,400,000",20171002-48217,2017/10/05 terima 42; 2017/10/08 terima 33
2017/10/02 3:03,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",76,76,"Rp68,000","Rp5,168,000",20171002-48246,2017/10/06 terima 61; 2017/10/09 terima 15
2017/09/30 17:31,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",37,37,"Rp76,000","Rp2,812,000",20170930-55892,2017/10/02 terima 37
2017/09/30 15:47,SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",76,76,"Rp67,000","Rp5,092,000",20170930-55944,2017/10/04 terima 53; 2017/10/06 terima 23
2017/09/30 6:39,SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",23,23,"Rp78,000","Rp1,794,000",20170930-56040,2017/10/04 terima 23
2017/09/25 17:36,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",83,83,"Rp75,000","Rp6,225,000",20170925-32301,2017/09/27 terima 79; 2017/10/01 terima 4
2017/09/25 10:03,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",27,27,"Rp76,000","Rp2,052,000",20170925-70729,2017/09/29 terima 27
2017/09/25 9:40,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",28,28,"Rp70,000","Rp1,960,000",20170925-70655,2017/09/28 terima 28
2017/09/25 5:13,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",133,133,"Rp65,000","Rp8,645,000",20170925-32348,2017/09/29 terima 82; 2017/10/03 terima 51
2017/09/23 18:41,SSI-D01037807-X3-BWH,"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",49,49,"Rp64,000","Rp3,136,000",20170923-41259,2017/09/25 terima 49
2017/09/18 6:14,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",44,44,"Rp77,000","Rp3,388,000",20170918-59870,2017/09/22 terima 44
2017/09/16 15:48,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",35,35,"Rp66,000","Rp2,310,000",20170916-54398,2017/09/20 terima 35
2017/09/16 12:08,SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",31,31,"Rp78,000","Rp2,418,000",20170916-54143,2017/09/19 terima 31
2017/09/14 13:29,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",54,54,"Rp63,000","Rp3,402,000",20170914-74150,2017/09/17 terima 33; 2017/09/20 terima 21
2017/09/11 15:54,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",10,10,"Rp67,000","Rp670,000",20170911-39994,2017/09/14 terima 10
2017/09/11 10:41,SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",14,14,"Rp60,000","Rp840,000",20170911-39993,2017/09/15 terima 14
2017/09/11 5:28,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",13,13,"Rp61,000","Rp793,000",20170911-39990,2017/09/15 terima 13
2017/09/04 10:42,SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",19,19,"Rp60,000","Rp1,140,000",20170904-31798,2017/09/08 terima 19
2017/08/29 19:30,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",27,27,"Rp63,000","Rp1,701,000",(Hilang),2017/09/01 terima 27
2017/08/23 19:48,SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",54,54,"Rp77,000","Rp4,158,000",20170823-75140,2017/08/26 terima 54
2017/08/23 19:18,SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",24,24,"Rp60,000","Rp1,440,000",20170823-72588,2017/08/25 terima 24
2017/08/23 10:18,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",47,47,"Rp71,000","Rp3,337,000",20170823-72543,2017/08/27 terima 47
2017/08/23 9:29,SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",24,24,"Rp78,000","Rp1,872,000",20170823-72448,2017/08/27 terima 24
2017/08/23 8:14,SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",56,56,"Rp64,000","Rp3,584,000",20170823-75140,2017/08/27 terima 51; 2017/08/29 terima 5
2017/08/23 6:12,SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",55,55,"Rp75,000","Rp4,125,000",20170823-75141,2017/08/25 terima 46; 2017/08/27 terima 9
2017/08/23 2:48,SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",47,47,"Rp78,000","Rp3,666,000",20170823-72753,2017/08/27 terima 47
2017/08/10 19:48,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",24,24,"Rp79,000","Rp1,896,000",(Hilang),2017/08/14 terima 24
2017/08/10 16:18,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",36,36,"Rp73,000","Rp2,628,000",(Hilang),2017/08/14 terima 36
2017/08/07 8:28,SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",22,22,"Rp73,000","Rp1,606,000",20170807-47194,2017/08/11 terima 22
2017/08/07 4:19,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",45,45,"Rp73,000","Rp3,285,000",20170807-47247,2017/08/10 terima 45
2017/08/07 4:16,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",44,44,"Rp63,000","Rp2,772,000",20170807-47268,2017/08/11 terima 44
2017/08/03 15:35,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",39,39,"Rp78,000","Rp3,042,000",20170803-40409,2017/08/05 terima 39
2017/07/05 7:24,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",101,101,"Rp73,000","Rp7,373,000",20170705-80527,2017/07/07 terima 92; 2017/07/10 terima 9
2017/06/21 17:23,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",15,15,"Rp65,000","Rp975,000",20170621-63683,2017/06/24 terima 15
2017/06/21 9:37,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",18,18,"Rp67,000","Rp1,206,000",20170621-63711,2017/06/25 terima 18
2017/06/16 18:13,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",69,69,"Rp67,000","Rp4,623,000",20170616-49542,2017/06/18 terima 57; 2017/06/21 terima 12
2017/06/09 14:18,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",85,85,"Rp60,000","Rp5,100,000",20170609-48272,2017/06/13 terima 68; 2017/06/17 terima 17
2017/06/07 0:18,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",152,152,"Rp79,000","Rp12,008,000",20170607-41048,2017/06/10 terima 47; 2017/06/12 terima 105
2017/05/30 13:17,SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",42,42,"Rp69,000","Rp2,898,000",20170530-40064,2017/06/02 terima 42
2017/05/30 7:49,SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",41,41,"Rp60,000","Rp2,460,000",20170530-47169,2017/06/03 terima 41
2017/05/30 1:06,SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",42,42,"Rp69,000","Rp2,898,000",20170530-40490,2017/06/03 terima 42
2017/05/29 12:28,SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",138,138,"Rp74,000","Rp10,212,000",20170529-32863,2017/06/01 terima 138
2017/05/29 2:59,SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",111,111,"Rp78,000","Rp8,658,000",20170529-70478,2017/05/01 terima 111
2017/05/29 1:36,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",112,112,"Rp69,000","Rp7,728,000",20170529-70446,2017/05/02 terima 12
2017/05/29 1:18,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",126,126,"Rp66,000","Rp8,316,000",(Hilang),2017/06/01 terima 126
2017/05/25 12:27,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",73,73,"Rp69,000","Rp5,037,000",20170525-38122,2017/05/27 terima 45; 2017/05/29 terima 28
2017/05/23 12:19,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",123,123,"Rp72,000","Rp8,856,000",20170523-72651,2017/05/25 terima 123
2017/05/21 15:48,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",123,123,"Rp72,000","Rp8,856,000",20170521-48749,2017/05/23 terima 123
2017/05/21 11:24,SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",124,124,"Rp60,000","Rp7,440,000",(Hilang),2017/05/25 terima 124
2017/05/19 17:43,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",115,115,"Rp72,000","Rp8,280,000",20170829-35425,2017/05/21 terima 115
2017/05/19 0:41,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",90,90,"Rp67,000","Rp6,030,000",20170519-94061,2017/05/22 terima 64; 2017/05/26 terima 26
2017/05/19 0:37,SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",145,145,"Rp77,000","Rp11,165,000",20170519-47171,2017/05/19 terima 145
2017/05/18 14:31,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",141,141,"Rp77,000","Rp10,857,000",20170518-39164,2017/05/21 terima 85; 2017/05/25 terima 56
2017/05/17 18:30,SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",137,137,"Rp65,000","Rp8,905,000",20170517-45556,2017/05/19 terima 137
2017/05/17 0:29,SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",132,132,"Rp62,000","Rp8,184,000",20170517-45572,2017/05/21 terima 132
2017/05/17 0:23,SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",137,137,"Rp61,000","Rp8,357,000",20170517-45584,2017/05/21 terima 137
2017/05/17 0:08,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",146,146,"Rp77,000","Rp11,242,000",20170517-45595,2017/05/20 terima 46
2017/05/16 13:59,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",147,147,"Rp60,000","Rp8,820,000",20170516-54443,2017/05/20 terima 147
2017/05/14 12:37,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",124,124,"Rp73,000","Rp9,052,000",(Hilang),2017/05/18 terima 124
2017/05/14 12:06,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",125,125,"Rp68,000","Rp8,500,000",(Hilang),2017/05/18 terima 125
2017/5/14 10:54,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",136,136,"Rp63,000","Rp8,568,000",20170514-64960,2017/05/18 terima 136
2017/05/13 12:00,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",114,114,"Rp61,000","Rp6,954,000",20170530-13265,2017/06/03 terima 57; 2017/06/07 terima 57
2017/05/13 2:41,SSI-D01037807-X3-BWH,"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",114,114,"Rp60,000","Rp6,840,000",20170803-40449,2017/05/13 terima 114
2017/05/12 13:52,SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",132,132,"Rp74,000","Rp9,768,000",20170512-83329,2017/05/15 terima 32
2017/05/12 9:37,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",141,141,"Rp73,000","Rp10,293,000",20170925-32239,2017/09/27 terima 141
2017/05/11 18:55,SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",135,135,"Rp71,000","Rp9,585,000",20170525-77267,2017/05/29 terima 135
2017/05/11 14:31,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",136,136,"Rp61,000","Rp8,296,000",20170511-78054,2017/05/15 terima 136
2017/05/11 13:54,SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",135,135,"Rp76,000","Rp10,260,000",20170511-42597,2017/05/13 terima 135
2017/05/11 5:00,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",114,114,"Rp60,000","Rp6,840,000",20170911-39993,2017/05/14 terima 14
2017/05/10 13:33,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",187,187,"Rp61,000","Rp11,407,000",20170607-61746,2017/06/09 terima 187
2017/05/10 7:10,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",145,145,"Rp78,000","Rp11,310,000",20170607-61782,2017/06/09 terima 145
